1,2,3,5,9,10,11,12,22,23,24,,
148,PGP0005801,Gampaha,Udupila,Divisional Hospital-Type C,Mahara,,2,"Divisional Hospital, Udupila, Delgoda",011 - 2402237,udupilahospital@gmail.com,,
149,LGP0000711,Gampaha,National Hospital for Respiratory Diseases -  (Chest Hospital - Welisara),Other Specialized Hospital,Wattala,Specialized Hospital,1,Welisara,"011-2958271, 011-2956702",,,
150,LGP0000687,Gampaha,"Leprosy Hospital, Hendala",Other Specialized Hospital,Wattala,,1,Hendala,011-2930211,,,
152,LGP0001263,Gampaha,Prison Hospital - Mahara,Prison Hospital,Mahara,Complete physical resources,3,"Mahara Prison Hospital, Ragama",011-4677586,phmahara@gmail.com,,
153,LGP0000729,Gampaha,Rehabilitation Hospital - Ragama,Other Specialized Hospital,Ragama,Specialized Hospital / Physical Rehabilitation Hospital,1,"Welisara, Ragama","011-2958212, 011-2958294",,,
154,LGP0001271,Gampaha,Vijaya Kumaratunga Memorial Hospital,Board Managed Hospital (Secondary Care),Seeduwa,,1,Seeduwa,112258862,,,
155,,Gampaha,STD Clinic-Ragama,STD Clinic,Ragama,Under RDHS Office but separate units,2,"STD Clinic, Teaching Hospital  - Ragama",011-2960224,stdclinicragama@gmail.com,,
156,PGP0005819,Gampaha,Alawala,Primary Medical Care Unit,Attanagalle,,2,"PMCU, Alawala",033 - 5678287,alawalacd@gmail.com,,
157,PGP0005827,Gampaha,Ambepussa,Primary Medical Care Unit,Meerigama,,2,"PMCU, Ambepussa",033 - 2210198,pmcuambepussa@gmail.com,,
158,PGP0005835,Gampaha,Andiambalama,Primary Medical Care Unit,Minuwangoda,,2,"PMCU, Andiambalama",011 - 2255439,pmcuandiambalamagampaha@gmail.com,,
159,PGP0005843,Gampaha,Anuragoda - Papiliyawala,Primary Medical Care Unit,Dompe,,2,"PMCU, Anuragoda, Pepiliyawala",033 - 2249024,pmcuanuragoda.rd.gm@gmail.com,,
160,PGP0005850,Gampaha,Badalgama,Primary Medical Care Unit,Divulapitiya,,2,"PMCU, Badalgama",077 - 1605328,pmcubadalgama@gmail.com,,
161,PGP0005868,Gampaha,Bemmulla,Primary Medical Care Unit,Attanagalla,,2,"PMCU, Bemmulla",033 - 2288441,bemmullacd@gmail.com,,
162,PGP0005876,Gampaha,Dewalapola,Primary Medical Care Unit,Divulapitiya,,2,"PMCU, Dewalapola",011 - 2283995,pmcudewalapola@gmail.com,,
163,PGP0005884,Gampaha,Dunagaha,Primary Medical Care Unit,Gampaha,,2,"PMCU, Dunagaha",031 - 2246262,pmcudunagaha1@gmail.com,,
164,PGP0005892,Gampaha,Ganemulla,Primary Medical Care Unit,Divulapitiya,,2,"PMCU, Ganemulla",033 - 2217498,pmcuganemulla@gmail.com,,
165,PGP0005900,Gampaha,Halpe-Katana,Primary Medical Care Unit,Divulapitiya,,2,"PMCU, Halpe - Katana",071 - 5465646,pmcuhalpekatana.rd.gm@gmail.com,,
166,PGP0005918,Gampaha,Halpe-Meerigama,Primary Medical Care Unit,Wattala,,2,"PMCU,Halphe Meerigama ",071 - 4167004,halpemirigamapmcu@gmail.com,,
167,PGP0005926,Gampaha,Hendala - Wattala,Primary Medical Care Unit,Wattala,,2,"PMCU, Handala, Wattala",071 - 3913240,pmcuhandala@yahoo.com,,
168,PGP0005934,Gampaha,Hunupitiya Wattala,Primary Medical Care Unit,Mahara,,2,"PMCU, Hunupitiya Wattala ",071 - 8025177,pmcuhunupitiya@gmail.com,,
169,PGP0005942,Gampaha,Kadawatha,Primary Medical Care Unit,Gampaha,,2,"PMCU, Kadawatha",071 - 4400846,kadawathapmcu@gmail.com,,
170,PGP0005959,Gampaha,Kalagedihena,Primary Medical Care Unit,Meerigama,,2,"PMCU, Kalagedihena",071 - 8666974,pmcukalagedihena93@gmail.com,,
171,PGP0005967,Gampaha,Kal-Eliya,Primary Medical Care Unit,Katana,,2,"PMCU, Kal-Eliya",033 - 2271124,pmcukaleliya@gmail.com,,
172,PGP0005975,Gampaha,Kandawala / Katana,Primary Medical Care Unit,Seeduwa,,2,"PMCU, Kandawala Katana",031 - 2231291,pmcukandawalakatana.rdgm@gmail.com,,
173,PGP0005983,Gampaha,Katunayake - (BOI),Primary Medical Care Unit,Minuwangoda,,2,"PMCU, BOI Katunayake ",071 - 4402829,pmcukatunayake@gmail.com,,
174,PGP0005991,Gampaha,Kochchikade,Primary Medical Care Unit,Negambo,,2,"PMCU, Kochchikade,",077 - 6854087,pmcukochchikade@gmail.com,,
175,PGP0006007,Gampaha,Korase,Primary Medical Care Unit,Minuwangoda,,2,"PMCU, Korasa",033 - 2290542,pmcukorase@gmail.com,,
176,PGP0006015,Gampaha,Kotadeniyawa,Primary Medical Care Unit,Divulapitiya,,2,"PMCU, Kotadeniyawa",033 - 2240189,pmcukotadeniyawa@gmail.com,,
177,PGP0006023,Gampaha,Madawala-Minuwangoda,Primary Medical Care Unit,Minuwangoda,,2,"PMCU, Madawala Minuwangoda",077 - 7556060,pmcumadawala@gmail.com,,
178,PGP0006031,Gampaha,Madelgamuwa,Primary Medical Care Unit,Minuwangoda,,2,"PMCU, Madelgamuwa,",033 - 2060274,madelgamuwacd@gmail.com,,
179,PGP0006049,Gampaha,Maladeniya Kithalawalana,Primary Medical Care Unit,Meerigama,,2,"PMCU, Maladeniya Kithalawalana",033 - 2210148,pmcumaladeniya@gmail.com,,
180,PGP0006056,Gampaha,Maligathanna  Veyangoda,Primary Medical Care Unit,Meerigama,,2,"PMCU, Maligathanna Veyangoda",033 - 20533042,pmcumaligatanne.rd.gm@mail.com,,
181,PGP0006098,Gampaha,Malwana,Primary Medical Care Unit,Biyagama,,2,"PMCU, Malwana,",077 - 7370905,pmcumalwana.rdhs.gam@gmail.com,,
182,PGP0006072,Gampaha,Mandawala,Primary Medical Care Unit,Dompe,,2,"PMCU, Mandawala",071 - 1065728,mandawalapmcu48@mail.com,,
183,PGP0006064,Gampaha,Meethirigala,Primary Medical Care Unit,Dompe,,2,"PMCU, Meethirigala,",033 - 2267161,pmcumeethirigala@gmail.com,,
184,PGP0006080,Gampaha,Muddaragama ,Primary Medical Care Unit,Meerigama,,2,"PMCU, Muddaragama,",033 - 2291217,pmcumuddaragama.rd.gm@gmail.com,,
185,PGP0006106,Gampaha,Nambuluwa Pasyala,Primary Medical Care Unit,Meerigama,,2,"PMCU, Nambuluwa Pasyala",033 - 2285794,pmcu.nambuluwa@gmail.com,,
186,PGP0006114,Gampaha,Pallewela,Primary Medical Care Unit,Meerigama,,2,"PMCU, Pallewela",033 - 2270727,pmcupallewela@mail.com,,
187,PGP0006122,Gampaha,Pasyala,Primary Medical Care Unit,Meerigama,,2,"PMCU, Pasyala,",033 - 2285780,pmcu.pasyala@yahoo.com,,
188,PGP0006130,Gampaha,Peliyagoda,Primary Medical Care Unit,Kelaniya,,2,"PMCU, Peliyagoda",071 - 9438174,peliyagodapmcu@gmail.com,,
189,PGP0006148,Gampaha,Pugoda,Primary Medical Care Unit,Dompe,,2,"PMCU, Pugoda",011 - 2405262,cdpugoda@gmail.com,,
190,PGP0006155,Gampaha,Raddolugama,Primary Medical Care Unit,Seeduwa,,2,"PMCU, Raddolugama",077 - 4405683,pmcuraddolugama.gampaha@gmail.com,,
191,PGP0006163,Gampaha,Seeduwa,Primary Medical Care Unit,Ja-Ela,,2,"PMCU, Seeduwa",071 - 6355398,pmcuseeduwa.rd.gm@gmail.com,,
192,PGP0006171,Gampaha,Sinharamulla,Primary Medical Care Unit,Kelaniya,,2,"PMCU, Singharamulla, Kelaniya",072 - 2455752,pmcusinharamulla@gmail.com,,
193,PGP0006189,Gampaha, Pitipana/Thalahena,Primary Medical Care Unit,Seeduwa,,2,"Pitipana/Thalahena, Negombo",031 - 2233176,pmcuthalahena@gmail.com,,
194,PGP0006197,Gampaha,Thihariya,Primary Medical Care Unit,Attanagalle,,2,"PMCU, Thihariya",033 - 2052079,pmcuthihariya2021@gmail.com,,
195,PGP0006205,Gampaha,Urapola  Meevittigammana,Primary Medical Care Unit,Attanagalle,,2,"PMCU, Meevitigammana Urapola",033 - 2281149,pmcu.urapola@gmail.com,,
196,PGP0006213,Gampaha,Uswetakeiyawa,Primary Medical Care Unit,Wattala,,2,"PMCU, Uswetakeyyawa",011 - 2948007,pmcuuswetakeiyawa.rd.gm@gmail.com,,
197,PGP0006221,Gampaha,Veyangoda,Primary Medical Care Unit,Attanagalle,,2,"PMCU, Veyangoda",033 - 2052023,pmcuveyangoda@gmail.com,,
198,PGP0006239,Gampaha,Wekada Delwagura,Primary Medical Care Unit,Divulapitiya,,2,"PMCU, Wekada Delwagura",077 - 7613805,pmcuwekadagampaha@gmail.com,,
199,PGP0006247,Gampaha,Weliweriya,Primary Medical Care Unit,Gampaha,,2,"PMCU, Weliweriya",033 - 2257971,pmcuweliweriya.rd.gm@gmail.com,,
200,PGP0006254,Gampaha,Weweldeniya,Primary Medical Care Unit,Meerigama,,2,"PMCU, Weweldeniya,",011 - 3452974,pmcuweweldeniya@gmail.com,,
201,PGP0006437,Gampaha,Al Hilala M.V.,ADC,Negambo,,2,"Al Hilal M.V, Periyamulla, Negombo",,,,
202,PGP0006445,Gampaha,Al Mubarak M.V,ADC,Biyagama,,2,"Al Mubarak National School, Malwana",,,,
203,PGP0006452,Gampaha,Bandaranayake M.V.,ADC,Gampaha,,2,"Bandaranayake M.V, Gampaha",033-2222202,,,
204,PGP0006460,Gampaha,Battuwatta M.V,ADC,Ragama,,2,"Batuwatta M.V, Batuwatta, Ragama",,,,
205,PGP0006478,Gampaha,Hiripitiya J.V.,ADC,Attanagalle,,2,"Hiripitiya Junior School, Hiripitiya, Veyangoda",033 - 2287214,,,
206,,Gampaha,Urapola,ADC,Attanagalle,,2,"Meewitigammana, Urapola",033 - 2280732,,,
207,PGP0006494,Gampaha,Katunayake (BOI),CDC,Seeduwa,,2,"BOI, Katunayake",,,,
208,PGP0006262,Gampaha,Attanagalla,MOH,Attanagalle,,2,"MOH Office, Attanagalla,Veyangoda",033-2287278,mohofficeattanagalla@gmail.com,,
209,PGP0006270,Gampaha,Biyagama,MOH,Biyagama,,2,"MOH Office, Biyagama,",011-2489785,biyagamamoh@yahoo.com,,
210,PGP0006288,Gampaha,Divulapitiya,MOH,Divulapitiya,,2,"MOH Office, Divulapitiya,",033-2246007,divulapitiyamoh@yahoo.com,,
211,PGP0006296,Gampaha,Gampaha,MOH,Gampaha,,2,"MOH Office, Gampaha,",033-2222278,gampahamoh@gmail.com,,
212,PGP0006304,Gampaha,Ja-Ela,MOH,Ja-Ela,,2,"MOH Office, Ja-Ela,",011-2237525,mohjaela16@gmail.com,,
213,PGP0006312,Gampaha,Katana,MOH,Katana,,2,"MOH Office, Katana,",033-2238490,katanamoh@yahoo.com,,
214,PGP0006320,Gampaha,Katunayake (BOI),MOH,Seeduwa,,2,"MOH Office, Katunayaka (BOI),",011-2256256,katunayakemoh@yahoo.com,,
215,PGP0006338,Gampaha,Kelaniya,MOH,Kelaniya,,2,"MOH Office, Kelaniya,",011-2914782,kelaniyamoh@yahoo.com,,
216,PGP0006346,Gampaha,Mahara,MOH,Mahara,,2,"MOH Office, Mahara, Kadawatha",011-2973506,maharamoh@yahoo.com,,
217,PGP0006353,Gampaha,Minuwangoda,MOH,Minuwangoda,,2,"MOH Office, Minuwangoda,",011-2295278,minuddos@gmail.com,,
218,PGP0006361,Gampaha,Mirigama,MOH,Meerigama,,2,"MOH Office, Meerigama,",033-2273278,mirigamamoh@yahoo.com,,
219,PGP0006379,Gampaha,Negombo,MOH,Negambo,,2,"MOH Office, Negombo",033-2224467,negombomoh@yahoo.com,,
220,PGP0006387,Gampaha,Dompe,MOH,Dompe,,2,"MOH Office, Dompe, Pugoda",011-2404769,dompemoh@yahoo.com,,
221,PGP0006395,Gampaha,Ragama,MOH,Ragama,,2,"MOH Office, Ragama",011-2958035,ragamamoh@yahoo.com,,
222,PGP0006403,Gampaha,Seeduwa,MOH,Seeduwa,,2,"MOH Office,Seeduwa",011-2252660,mohseeduwa@yahoo.com,,
223,PGP0006411,Gampaha,Wattala,MOH,Wattala,,2,"MOH Office,Wattala",011-2933212,mohwattala@yahoo.com,,
224,PGP0005645,Gampaha,Gampaha,RDHS,Gampaha,,2,"RDHS Office, Kachcheri complex, Gampaha",033 - 2222874,rdhsgampahap@gmail.com,,
226,LGP0000745,Gampaha,NTS Kandana,NTS,Kadana,,1,,011-2237153,,,
227,,Gampaha,Anti Filariasis Campaign,Other,Kelaniya,,2,"Filariasis Unit, Base Hospital, Kiribathgoda",011-2917900,afcgampaha@gmail.com,,
1715,PGP0006429,Gampaha,Al Azzar M.V.,ADC,Attanagalla,,2,Al Azzar M.V.- Thihariya,,,,
1716,,Gampaha,Kumarimulla M.V.,ADC,Dompe,,2,"Kumarimulla M.V. - Kumarimulla, Pogoda",,,,
1750,,Gampaha,STD Clinic-Gampaha,STD Clinic,Gampaha,Under RDHS Office but separate units,2,"District Genaral Hospital, Gampaha.",033-2234383,stdclinicgampaha@gmail.com,,
1752,LGP0000737,Gampaha,Airport Health Office-Katunayake,Other,,,1,Katunayake,011-2263912-14,,,
1753,,Gampaha,RMSD - Gampaha,Other,Ja-Ela,,2,Ragama,011-2958537,,,
1817,,Gampaha,STD Campaign  Negambo,STD Clinic,Negambo,Under RDHS Office but separate units,2,"DGH, Negambo",031-2239016,stdclinic.negombo@gmail.com,,
1851,,Gampaha,Anti Leprosy Campaign,Other,Ja-Ela,,2,,071-6313085,lepgampaha@gmail.com,,
1852,,Gampaha,STD Clinic - Wathupitiwala,STD Clinic,Attanagalla,Under RDHS Office but separate units,2,"Base Hospital, Wathupitiwala",033-2280262,arcgampaha@gmail.com,,
1853,,Gampaha,Anti Rabies Unit,Other,Gampaha,Under RDHS Office but separate units,2,"RDHS Office, Gampaha",033-2222874,arcgampaha@gmail.com,,
1854,,Gampaha,Bio Medical Engineering Unit  -  Gampaha,Other,Gampaha,,2,"RDHS Office, Gampaha",033-2233988,bme-gm@yahoo.com,,
1889,,Gampaha,Naval General Hospital (Colombo) - Welisara,Navy Hospital,,Open on 2012,3,"Navy Hospital, Welisara",011-2216171  Ext.16167(Record Room)           077-3725896 (PO(Medical)),,,
1931,,Gampaha,Prison Hospital - Negambo,Prison Hospital,Negombo,,3,"Prison Hospital, Pallansena, Dalupotha, Negombo",0718036438 / 0314677525,janakijayathilaka53@gmail.com,,
1957,,Gampaha,SLAF Station Biyagama,Air Force Hospital,Seeduwa,,3,SLAF Station Biyagama,033-2228210,,,
1958,,Gampaha,SLAF Hospital TTS Ekala,Air Force Hospital,Ja-Ela,,3,SLAF Hospital TTS Ekala,011-2236487,,,
1961,,Gampaha,SLAF Station Miirigama,Air Force Hospital,,,3,SLAF  Mihirigama,033-2227205,,,
2031,,Gampaha,SLAF Base Katunayake,Air Force Hospital,,,3,,011-2253600    Ext:24205,,,
2033,,Gampaha,Sri Lanka Air Force Station - Seeduwa,Air Force Hospital,,,3,,011-2265126,,,
2038,,Gampaha,Anti Malaria Campaign-Gampaha,Other,New,,2,,077-7510848,,,
229,LKT0000893,Kalutara,Kalutara,Teaching Hospital,Kalutara,,1,"Mathugama Road, Kalutara",034-2222261-62,,,
230,PKT0010272,Kalutara,Horana,District General Hospital,Horana,,2,"District General Hospital, Horana",034-2261261,dghhorana@gmail.com,,
231,,Kalutara,Kethumathie Women's  Hospital,Other Specialized Hospital,Panadura,Specialized Hospital,2,"Kethumathi MH, Panadura",038-2231152,kethumathihospital@gmail.com,,
232,PKT0010280,Kalutara,Panadura,Base Hospital-Type A,Panadura,,2,"Base Hospital , Panadura",038-2232770,bhpanadura@yahoo.com,,
233,PKT0010306,Kalutara,Ingiriya,Divisional Hospital-Type A,Ingiriya,,2,"Divisional Hopital, Ingiriya",038-2269261,dhingiriya@yahoo.com,,
234,PKT0010314,Kalutara,Matugama,Divisional Hospital-Type A,Mathugama,,2,Divisional Hospital - Mathugama,034-2247261,mathugama.hospital@yahoo.com,,
235,PKT0010298,Kalutara,Pimbura,Base Hospital-Type B,Agalawatta,,2,Base Hopital - Pimbura,038-2244461,pimburabasehospital@gmail.com,,
236,LKT0000901,Kalutara,Aluthgamweediya / Darga Town,Divisional Hospital-Type B,Beruwala,,1,,034-2275264,,,
237,PKT0010322,Kalutara,Baduraliya,Divisional Hospital-Type B,Palindanuwara,,2,"Divisional Hospital, Baduraliya",034-2244235,baduraliyahospital@gmail.com,,
238,PKT0010330,Kalutara,Bandaragama,Divisional Hospital-Type B,Bandaragama,,2,"Divisional Hopital , Bandaragama",038-2290261,dmodhbandaragama@gmail.com,,
239,LKT0000885,Kalutara,Beruwala,Base Hospital-Type B,Beruwala,BHB -  Upgrade from 01.01.2015,1,,034-2276162,bhberuwalaa@gmail.com,,
240,PKT0010348,Kalutara,Bulathsinghala,Divisional Hospital-Type B,Bulathsinghala,,2,"Divisional Hospital, Bulathsinghala",034-2283161,moic.hosp.bulath@gmail.com,,
241,PKT0010355,Kalutara,Galpatha,Divisional Hospital-Type B,Millaniya,,2,"Divisional Hospital, Galpatha",034-2251444,dhgalpatha@gmail.com,,
242,PKT0010363,Kalutara,Ittapana,Divisional Hospital-Type B,Walallawita,,2,Divisional Hospital - Ittapana,034-2274460,ittapanahospitaldh@gmail.com,,
243,PKT0010371,Kalutara,Meegahatenna,Divisional Hospital-Type B,Walallawita,,2,Divisional Hospital - Meegahathanne,034-2284061,dhmeegahathanne@gmail.com,,
244,LKT0000919,Kalutara,Aluthgama,Divisional Hospital-Type C,Beruwala,No maternity ward,1,,034-2275261,,,
245,PKT0010389,Kalutara,Dodangoda,Divisional Hospital-Type C,Dodangoda,,2,"Divisional Hospital, Dodangoda",034-2281654,rhdodangoda@gmail.com,,
246,PKT0010397,Kalutara,Gonaduwa,Divisional Hospital-Type C,Panadura,,2,"Divisional Hospital, Gonaduwa",038-2232561,dhgonaduwa@yahoo.com,,
247,PKT0010405,Kalutara,Haltota,Divisional Hospital-Type C,Millaniya,,2,Divisional Hospital - Haltota,034-2252045,divisionalhospitalhalthota@yahoo.com,,
248,PKT0010413,Kalutara,Katugahahena,Divisional Hospital-Type B,Mathugama,,2,Divisional Hospital - Katugahahena,034-2245576,dhkatugahahena@gmail.com,,
249,PKT0010421,Kalutara,Naboda,Divisional Hospital-Type C,Dodangoda,,2,Divisional Hospital - Neboda,034-2242123,dhneboda@yahoo.com,,
250,,Kalutara,"Chest Clinic, Kalutara",Chest Clinic,Kalutara,,2,"Chest Clinic, Kalutara",034-2222677,dtcoklt@gmail.com,,
251,,Kalutara,STD/ AIDS Control Unit,STD Clinic,Kalutara,,2,"STD Control Unit, Kalutara",034-2236937,stdclinic.kalutara@gmail.com,,
252,PKT0010470,Kalutara,Bellana,Primary Medical Care Unit,Agalawatta,,2,"PMCU, Bellana",034-2246486,pmcubellana2022@outlook.com,,
253,PKT0010496,Kalutara,Horawala,Primary Medical Care Unit,Mathugama,,2,"PMCU, Horawala",034-2247462,pmcuhorawala@gmail.com,,
254,PKT0010504,Kalutara,Keselwatta,Primary Medical Care Unit,Panadura,,2,"PMCU - Keselwatta, Panadura",038-2298558,keselwattapandpmcu@gmail.com,,
256,PKT0010447,Kalutara,Panapitiya,Primary Medical Care Unit,Wadduwa,,2,"PMCU, Panapitiya",034-2222385,panapitiyapmcu1@gmail.com,,
257,,Kalutara,Police Traning School-Kalutara,Primary Medical Care Unit,Kalutara,,3,,,,,
258,PKT0010512,Kalutara,Thiniyawala,Primary Medical Care Unit,Palindanuwara,,2,PMCU - Thiniyawala,034-3941228,pmcuthiniyawala@gmail.com,,
259,PKT0010454,Kalutara,Wadduwa,Primary Medical Care Unit,Wadduwa,,2,PMCU - Wadduwa,038-2232027,cdwadduwa@gmail.com,,
260,PKT0010462,Kalutara,Warakagoda,Primary Medical Care Unit,Madurawala,,2,PMCU - Warakagoda,034-2242085,pmcuwarakagoda@gmail.com,,
261,PKT0010652,Kalutara,Al/Hamadi M. M.V.-Daharga Town,ADC,,,2,,,,,
262,PKT0010660,Kalutara,Alagasalis M.V.,ADC,Bandaragama,Under MOH-Bandaragama,2,,,,,
263,PKT0010678,Kalutara,Aluthgaman M.V.,ADC,,,2,,,,,
264,PKT0010686,Kalutara,Horana Don Pedric M.V,ADC,Horana,Under MOH-Horana,2,,,,,
265,PKT0010694,Kalutara,Sumangala boy's School - Panadura,ADC,Panadura,Under MOH-Panadura,2,,,,,
266,PKT0010710,Kalutara,Wadduwa,CDC,Wadduwa,In Wadduwa PMCU,2,,,,,
267,PKT0010520,Kalutara,Agalawatta,MOH,Agalawatta,,2,"MOH Office, Agalawatta",034-2249016,mohagalawatta@gmail.com,,
268,PKT0010538,Kalutara,Bandaragama,MOH,Bandaragama,,2,"MOH Office , Bandaragama",038-2290154,mohbandaragama@gmail.com,,
269,LKT0000927,Kalutara,Beruwala,MOH,Beruwala,,1,,034-2270276,,,
270,PKT0010546,Kalutara,Bulathsinhala,MOH,Bulathsinghala,,2,"MOH Office, Bulathsighala",034-2283158,moh.bulathsinghala@gmail.com,,
271,PKT0010561,Kalutara,Horana,MOH,Horana,,2,"MOH Office, Horana",034-2261278,mohhorana1@gmail.com,,
272,PKT0010579,Kalutara,Ingiriya,MOH,Ingiriya,,2,"MOH Office, Ingiriya",034-2268177,mohingiriya@gmail.com,,
273,LKT0000935,Kalutara,Kalutara,MOH,Kalutara,,1,"MOH Office, NISH, Nagoda, Kalutara",034-2229445,,,
274,PKT0010587,Kalutara,Madurawala,MOH,Madurawala,,2,"MOH Office, Madurawala",034-2251527,mohmadurawala13@gmail.com,,
275,PKT0010595,Kalutara,Mathugama,MOH,Mathugama,,2,"MOH Office, Mathugama",034-2247278,mohmathugama@gmail.com,,
276,PKT0010611,Kalutara,Palindanuwara,MOH,Palindanuwara,,2,"MOH Office, Palindanuwara",034-2244478,mohpalindanuwara@yahoo.com,,
277,PKT0010629,Kalutara,Panadura,MOH,Panadura,,2,"MOH Office, Panadura",034-2232278,mohpanadura@gmail.com,,
278,PKT0010645,Kalutara,Walallawita,MOH,Walallawita,,2,"MOH Office, Walallawita",034-2284456,mohwalallawita@yahoo.com,,
279,PKT0010264,Kalutara,Kalutara,RDHS,Kalutara,,2,"RDHS Office, P.O. Box 29, Secretariat Building, Kalutara",034-2222367,rdhskaluthara@yahoo.com,,
280,,Kalutara,Anti Filariasis Unit,Other,Kalutara,,2,"Anti Filaria Unit, Kalutara",034-2222145,kalutaraafu@gmail.com,,
281,LKT0000943,Kalutara,Food Lab-NIHS,Other,Kalutara,,2,,,,,
282,LKT0000968,Kalutara,NIHS(National Institute of Health Sciences),Other,Kalutara,,1,"Nagoda, Kalutara","034-2222264, 034-2222001",,,
1754,LKT0000950,Kalutara,School of MLTT,Other,Kalutara,,1,Kalutara,034-2222264,,,
1755,LKT0000976,Kalutara,NTS Kalutara,NTS,Kalutara,,1,Kalutara,034-2222264,,,
1810,PKT0010553,Kalutara,Dodangoda,MOH,Dodangoda,,2,MOH Office - Dodangoda,034-2285941,dodangodamoh@gmail.com,,
1834,PKT0010702,Kalutara,Sumangala Girls school,ADC,,Under MOH Panadura(2014),2,,,,,
1835,PKT0010637,Kalutara,Wadduwa,MOH,Wadduwa,,2,"MOH Office, Wadduwa",034-2283667,mohwadduwa@gmail.com,,
1836,PKT0010439,Kalutara,New Chatal Estate Hospital,Divisional Hospital-Type C,Madurawala,,2,"Newchatal Estate Hospital, Neboda",077-5008017,neuchatalhospital@gmail.com,,
1837,PKT0010488,Kalutara,Geekiyanakanda Estate Hospital,Divisional Hospital-Type C,Madurawala,,2,"Geekiyanakanda Estate Hospital, Neboda",070-4600065,geekiyanakandapmcu@gmail.com,,
1850,,Kalutara,RMSD - Horana,Other,Horana,,2,RMSD - Horana,038-2265025,kalutararmsd@gmail.com,,
1885,PKT0010603,Kalutara,Millaniya,MOH,Millaniya,,2,"MOH Office, Millaniya",034-2207155,mohmillaniya@gmail.com,,
1886,,Kalutara,Yattapatha,Primary Medical Care Unit,,,2,"PMCU, Yattapatha",071-7273987,pmcuyattapatha @gmail.com,,
1937,,Kalutara,Bio Medical Engineering Unit - Wadduwa,Other,Wadduwa,,2,BMEU - Wadduwa,038-2294700,bmekalutara@gmail.com,,
1953,,Kalutara,SLAF Katukurunda  (Medical Section),Air Force Hospital,,,3,,,,,
1975,,Kalutara,NCD Unit,Other,Wadduwa,,2,"NCD Unit, Wadduwa",038-2294711,ncdunitwadduwa@gmail.com,,
2017,,Kalutara,Molkawa,Primary Medical Care Unit,New,Starting from 3rd quarter 2022,2,PMCU Molkawa,071-1030828,pmcumolkava@gmail.com,,
283,LKY0001008,Kandy,National Hospital- Kandy,National Hospital,Kandy Munciple Council,,1,"General Teaching Hospital ,Kandy",081-2233337,,,
284,LKY0001016,Kandy,Peradeniya,Teaching Hospital,Kandy Munciple Council,,1,"General Teaching Hospital ,Peradeniya",081-2388001  - 05,,,
285,LKY0001024,Kandy,Sirimavo Bandaranayake Children.Sp.Hospital-Peradeniya,Specialized Teaching Hospital,Kandy Munciple Council,Specialized Hospital,1,Sirimavo B.S.C. Peradeniya,081-2389110,dirsbsch@gmail.com,,
